0,1,2
,"The Committee determines the appropriate balance between fixed and variable pay elements, short- and long‑term",
,"pay elements, and cash and equity‑based pay elements when setting total compensation opportunities at",
competitive levels.,,
Pay element,Characteristics,Purpose
Base salary,Annual fixed cash compensation,Attract and retain high‑performing and
,,experienced executives
Short‑‑term,Annual variable cash compensation based,Motivate executives to achieve short‑term
incentive opportunity,on the achievement of predetermined,performance goals that will establish the
,annual performance measures,foundation for future growth
Long‑‑term,Long‑term variable equity awards,Align executives’ interests with those of
incentive opportunity,granted annually as a combination of,"shareholders, encourage efforts to grow"
,performance‑based stock units,"long‑term value, and retain executives"
,and time‑based restricted stock units,
